i think you need to be in the hospital .	我認為你需要在醫院裡 。
we're biological creatures .	我們是生物生物生物 。
i couldn't disagree more .	我無法想像更多 。
that's what we all need to do .	這就是我們所有需要做的 。
so no more missing , guys .	所以 , 沒有更多誤解 , 男人 。
it's so glamorous .	它很魅惑 。
and let me illustrate that .	讓我來說明這一點 。
and i kept on getting lost .	我一直都在失敗了 。
it is not a guarantee .	它不是一個巨人的 。
the queen of clubs !	俱樂的頻率 !
this is a huge collaboration .	這是個巨大的合作 。
that's a terrible story .	這是個可怕的故事 。
now , that's one barrier .	這是一個障礙 。
there are , indeed , problems .	事實上 , 問題是 。
we live in ignorance .	我們生活在外國 。
no , that's what i thought .	不 , 這就是我的想法 。
you can manipulate it yourself .	你可以操控自己 。
language just doesn't work that way .	語言並不有效 。
but there will always be another war . "	但 , 總是會有另一個戰爭 。 」
ah , sorry about that .	嗯 , 抱歉 。
now that never would have been possible before .	現在從來沒有可能的 。
and women do fundraising .	女性在基礎上做基礎 。
sure , she had aged a little .	當然 , 她的年齡很小 。
we first began by looking at heart disease .	我們首先開始尋找心臟疾病 。
and there are various facets .	還有很多臉 。
because , the earth is our ship .	因為地球是我們的船 。
thank you very much . thank you .	非常感謝你 。 謝謝你們 。
they fought . the worked .	他們笑了 。 成功 。
i get emotional . sorry .	我得到了情緒 。 抱歉 。
now , what about concrete ?	現在 , 內容內容是什麼 ?
so basically , i got . . .	基本上 , 我得到了 。
i started off in uganda .	我開始在烏干達 。
don't tell us where you are .	不要告訴我們你在哪裡 。
and so i believed it , too .	所以我也相信這一點 。
so , i wanted to show you something .	所以我想要給你們看一些東西 。
and you can get a list .	你可以得到一個清單 。
you can observe it .	你可以觀察它 。
but i want to do more than that .	但我想要做更多 。
it's a problem like any other .	它是個問題 。
and she goes on to say . . .	她說了 。
and i couldn't hear this sound .	我無法聽見這個聲音 。
and here's the most important part .	這裡是最重要的部分 。
here's what that looks like .	這是什麼樣子 。
so you have to do something like this .	所以你必須這樣做 。
and it uses no fuel .	它使用不燃料 。
i had done the homework .	我做了個家園 。
landing hurts .	打破傷害 。
we victims need everyone .	我們受害者需要每個人都 。
so now this technology — thank you .	現在這個技術 , 謝謝你們 。
i'd like to try something new .	我想要嘗試新東西 。
how much do you get paid ?	你有多少錢 ?
i wanted to seek out new life .	我想要看到新的生命 。
