i think you need to be in the hospital .	我認為你需要在醫院裡 。
we're biological creatures .	我們是生物生物生物生物 。
i couldn't disagree more .	我無法分辨更多 。
that's what we all need to do .	這就是我們所有需要做的 。
so no more missing , guys .	所以 , 沒有更多的失誤 , 男人 。
it's so glamorous .	太魅惑了 。
and let me illustrate that .	讓我來說明一下 。
and i kept on getting lost .	我一直在失去了 。
it is not a guarantee .	不是保證人 。
the queen of clubs !	俱樂團的皇后 !
this is a huge collaboration .	這是很大的合作 。
that's a terrible story .	這是個可怕的故事 。
now , that's one barrier .	這是一個障礙 。
there are , indeed , problems .	事實上 , 問題是 。
we live in ignorance .	我們生活在無知之處 。
no , that's what i thought .	不 , 這就是我的想法 。
you can manipulate it yourself .	你可以操控自己 。
language just doesn't work that way .	語言並不有效 。
but there will always be another war . "	但總會有另一個戰爭 。 」
ah , sorry about that .	抱歉 。
now that never would have been possible before .	以前從來沒有可能 。
and women do fundraising .	女性募資資 。
sure , she had aged a little .	當然 , 她的年齡很少 。
we first began by looking at heart disease .	我們首先開始研究心臟病 。
and there are various facets .	有很多面孔 。
because , the earth is our ship .	因為地球是我們的船 。
thank you very much . thank you .	謝謝大家 。 謝謝 。
they fought . the worked .	他們化了 。 工作 。
i get emotional . sorry .	抱歉 。 抱歉 。
now , what about concrete ?	現在 , 到底是什麼 ?
so basically , i got . . .	基本上 , 我得到了 。
i started off in uganda .	我從烏干達開始 。
don't tell us where you are .	別告訴我們 , 你在哪裡 。
and so i believed it , too .	所以我也相信 。
so , i wanted to show you something .	所以我想要給各位看一些東西 。
and you can get a list .	你可以得到一個謊言 。
you can observe it .	你可以觀察它 。
but i want to do more than that .	但我想要做的不只是這樣 。
it's a problem like any other .	這是個問題 。
and she goes on to say . . .	她說了 。
and i couldn't hear this sound .	我聽不到這個聲音 。
and here's the most important part .	這是最重要的部分 。
here's what that looks like .	這是這樣的 。
so you have to do something like this .	所以你必須這樣做 。
and it uses no fuel .	沒有燃料 。
i had done the homework .	我在家裡完成了 。
landing hurts .	陸地 。
we victims need everyone .	我們受害者需要每個人 。
so now this technology — thank you .	所以 , 謝謝各位 。
i'd like to try something new .	我想嘗試新的東西 。
how much do you get paid ?	你有多少人得到薪水 ?
i wanted to seek out new life .	我想要看到新生活 。
it was around this time when . . .	那時就在這個時間了 。
he made sure that everything lined up .	他確保一切都在上 。
that may sound ridiculous .	這聽起來很荒謬 。
stick with the people you know .	和你認識的人分享 。
lots of us mayors do that .	很多人可能這樣做 。
that really creeped us out .	這真的很瘋狂 。
what do you do for a living ? "	你要怎麼做 ? 」
but they were random things .	但他們是隨機的 。
they said he was that kind of guy .	他們說他是那種人 。
how many people have their blackberry ?	有多少人有黑莓 ?
but now , it was closing .	但現在 , 是很聰明的 。
i call it the ipatient .	我稱之為 「 諷刺 」 。
no , we shouldn't measure .	不 , 我們不應該測量 。
so how on earth do we even see ?	所以 , 我們甚至在地球上看到了什麼 ?
by leading a movement and making change .	藉由領導一個運動 , 做出改變 。
he started a motorbike company .	他開始了一間運動公司 。
comedians know all about this .	喜劇人都知道這一點 。
scott , thank you so much .	謝謝大家
they started making their own video games .	他們開始製作自己的電玩遊戲 。
they're more american than anything else .	他們比其他的美國人更美 。
and we knew nothing about going to space .	我們對太空無所知 。
but they always stop and take a picture .	但他們總是停下來 , 拍照 。
about 325 have been produced .	大約325年已經產生了 。
because maybe , maybe they mean a lot .	因為也許 , 他們的意思是很多 。
what about if you're new power ?	如果你是新力量呢 ?
what do you want to write about ? "	你想要寫什麼 ? 」
try 1 and check the light .	試看光 。
ca: last question , larry .	克里斯:最後一個問題 。
ag: yeah . ok .	ag:是的 。 好 。
so we started looking elsewhere .	所以我們開始尋找其他地方 。
my father was literally born again .	我的爸爸媽也生了 。
and i said , " yeah . "	我說: 「 是的 。 」
can i have the lights up again ?	我能再次發光嗎 ?
i've never known anything else .	我從來不知道其他東西 。
