i think you need to be in the hospital .	我認為你需要在醫院裡 。
we're biological creatures .	我們是生物生物 。
i couldn't disagree more .	我無法想像更多 。
that's what we all need to do .	這就是我們需要做的 。
so no more missing , guys .	所以 , 不錯 , 傢伙 。
it's so glamorous .	這是很大的 。
and let me illustrate that .	讓我驚訝 。
and i kept on getting lost .	我坐下來 。
it is not a guarantee .	這不是很棒的 。
the queen of clubs !	氣候變遷 !
this is a huge collaboration .	這是很大的合作 。
that's a terrible story .	這是很可怕的故事 。
now , that's one barrier .	這樣 , 這也是一場危機 。
there are , indeed , problems .	問題是 , 問題的 。
we live in ignorance .	我們住在鄰居 。
no , that's what i thought .	不 , 我覺得什麼 。
you can manipulate it yourself .	你可以把自己抓住 。
language just doesn't work that way .	語言不僅運作 。
but there will always be another war . "	但 , 總是其他戰爭 。 」
ah , sorry about that .	嗯 , 很抱歉 。
now that never would have been possible before .	這永遠不會發生 。
and women do fundraising .	女性有趣 。
sure , she had aged a little .	當然 , 她有一點 。
we first began by looking at heart disease .	我們首先開始觀察心臟疾病 。
and there are various facets .	有很多臉書 。
because , the earth is our ship .	因為地球是我們的船 。
thank you very much . thank you .	謝謝你們
they fought . the worked .	他們會哭 。
i get emotional . sorry .	我得到情緒 。
now , what about concrete ?	那麼 , 什麼 ?
so basically , i got . . .	基本上 , 我得到 。
i started off in uganda .	我開始放棄 。
don't tell us where you are .	不要告訴我們什麼 。
and so i believed it , too .	所以我相信 , 太多 。
so , i wanted to show you something .	所以我想給你們看一些東西 。
and you can get a list .	然後你可以拿一張圖書 。
you can observe it .	你可以觀察它 。
but i want to do more than that .	但我想要做更多 。
it's a problem like any other .	問題就像任何問題一樣 。
and she goes on to say . . .	她說了 。
and i couldn't hear this sound .	我不會聽到這聲音 。
and here's the most important part .	這是最重要的部分 。
here's what that looks like .	這是什麼樣子 。
so you have to do something like this .	所以你必須做一些東西 。
and it uses no fuel .	它使用燃料 。
i had done the homework .	我做了家家 。
landing hurts .	土地 。
we victims need everyone .	我們被視為每個人都 。
so now this technology — thank you .	現在 , 謝謝 。
i'd like to try something new .	我想要一些新的東西 。
how much do you get paid ?	你怎麼辦 ?
i wanted to seek out new life .	我想要看到新的生命 。
it was around this time when . . .	那時 , 當這樣 。
he made sure that everything lined up .	他確信一切 。
that may sound ridiculous .	這可能聽起來很荒謬 。
stick with the people you know .	人們知道 。
lots of us mayors do that .	許多人可能做 。
that really creeped us out .	這真的讓人驚訝 。
what do you do for a living ? "	你要怎麼做 ? 」
but they were random things .	但他們是陌生的東西 。
they said he was that kind of guy .	他們說他是個人 。
how many people have their blackberry ?	多少人有黑人嗎 ?
but now , it was closing .	但現在 , 它很緊張 。
i call it the ipatient .	我稱它為 「 愛 」 。
no , we shouldn't measure .	不 , 我們不需要測量 。
so how on earth do we even see ?	所以 , 我們怎麼辦 ?
by leading a movement and making change .	由領導者和改變 。
he started a motorbike company .	他開始一個月球公司 。
comedians know all about this .	美國都知道這一切 。
scott , thank you so much .	謝謝你們 。
they started making their own video games .	他們開始創造自己的影片 。
they're more american than anything else .	他們比其他其他其他人 。
and we knew nothing about going to space .	我們知道什麼都不會去空間 。
but they always stop and take a picture .	但他們總是停下來 。
about 325 have been produced .	大約325年 , 已經產生了 。
because maybe , maybe they mean a lot .	因為 , 也許他們意味著很多 。
what about if you're new power ?	如果你是新力量嗎 ?
what do you want to write about ? "	你想要寫什麼 ? 」
try 1 and check the light .	試著1 , 用光 。
ca: last question , larry .	克:最後一個問題 。
ag: yeah . ok .	艾:是的 。 好 。
so we started looking elsewhere .	所以我們開始看其他地方 。
my father was literally born again .	我父親的父親是一生 。
and i said , " yeah . "	我說: 「 是的 。 」
can i have the lights up again ?	我可以再一次一次嗎 ?
i've never known anything else .	我從未知 。
but let me just say a couple words .	但讓我說幾個字 。
